coin,name,datePrice,currentPrice,link_to_exch,fl_added
SAN,Santiment Net...,2017-12-15 21:01:51.695764+00:00,4.11291,https://coinmarketcap.com/currencies/santiment/,True
MANA,Decentraland,2017-12-15 21:01:51.695764+00:00,0.109321,https://coinmarketcap.com/currencies/decentraland/,True
QASH,QASH,2017-12-15 21:01:51.695764+00:00,0.703458,https://coinmarketcap.com/currencies/qash/,True
VEN,VeChain,2017-12-15 21:01:51.695764+00:00,0.865401,https://coinmarketcap.com/currencies/vechain/,True
BAT,Basic Attenti...,2017-12-15 21:01:51.695764+00:00,0.234457,https://coinmarketcap.com/currencies/basic-attention-token/,True
POWR,Power Ledger,2017-12-15 21:01:51.695764+00:00,0.660056,https://coinmarketcap.com/currencies/power-ledger/,True
SYS,Syscoin,2017-12-15 21:01:51.695764+00:00,0.421635,https://coinmarketcap.com/currencies/syscoin/,True
BTM,Bytom,2017-12-15 21:01:51.695764+00:00,0.216194,https://coinmarketcap.com/currencies/bytom/,True
GBYTE,Byteball Bytes,2017-12-15 21:01:51.695764+00:00,328.053,https://coinmarketcap.com/currencies/byteball/,True
KNC,Kyber Network,2017-12-15 21:01:51.695764+00:00,1.57781,https://coinmarketcap.com/currencies/kyber-network/,True
BTCD,BitcoinDark,2017-12-15 21:01:51.695764+00:00,161.991,https://coinmarketcap.com/currencies/bitcoindark/,True
XZC,ZCoin,2017-12-15 21:01:51.695764+00:00,56.9905,https://coinmarketcap.com/currencies/zcoin/,True
CNX,Cryptonex,2017-12-15 21:01:51.695764+00:00,4.61958,https://coinmarketcap.com/currencies/cryptonex/,True
WTC,Walton,2017-12-15 21:01:51.695764+00:00,8.16302,https://coinmarketcap.com/currencies/walton/,True
GAS,Gas,2017-12-15 21:01:51.695764+00:00,22.6794,https://coinmarketcap.com/currencies/gas/,True
DGB,DigiByte,2017-12-15 21:01:51.695764+00:00,0.0202651,https://coinmarketcap.com/currencies/digibyte/,True
NXS,Nexus,2017-12-15 21:01:51.695764+00:00,3.51479,https://coinmarketcap.com/currencies/nexus/,True
FUN,FunFair,2017-12-15 21:01:51.695764+00:00,0.0432043,https://coinmarketcap.com/currencies/funfair/,True
ZRX,0x,2017-12-15 21:01:51.695764+00:00,0.360953,https://coinmarketcap.com/currencies/0x/,True
DATA,Streamr DATAcoin,2017-12-15 21:01:51.695764+00:00,0.262135,https://coinmarketcap.com/currencies/streamr-datacoin/,True
